doc_id,doc_type,component,symptom_tags,root_cause,fix_action,success,source_ref,rack_id,server_id,technician,vendor,text
DOC-0013,rca,disk,reallocated_sectors|pending_sectors|smart_prefail,SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.,"Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.",True,INC401924,RACK-10,RACK-10-U2,J. Alvarez,Lenovo,"Root Cause Analysis INC401924 -- DISK failure signature, Lenovo platform
Prepared by: J. Alvarez
Observed symptoms: reallocated_sectors, pending_sectors, smart_prefail.
Analysis: SMART pre-fail attributes (reallocated and pending sector counts) rising steadily over the prior week indicate the drive's media surface is degrading; this pattern preceded a hard read failure in prior incidents.
Recommended and validated action: Migrate data off the drive (rebuild RAID member / drain replica) before reallocated sectors exceed the vendor threshold, then hot-swap the physical disk. Do not wait for a hard failure if a backup or replication job is currently reading from this drive.
Confirmation: Validated across multiple servers with the same signature."
DOC-0012,rca,dimm,ecc_correctable_spike|bios_reseat_attempted,"Initial diagnosis suspected a loose DIMM seating after a recent chassis service event; reseating temporarily reduced correctable ECC counts but errors returned within 48 hours, confirming the module itself (not the seating) was at fault.",Reseating the DIMM is not a durable fix when correctable ECC counts resume climbing within 2 days -- escalate directly to module replacement instead of re-attempting a reseat.,False,INC702326,RACK-05,RACK-05-U8,S. Okafor,Lenovo,"Root Cause Analysis INC702326 -- DIMM failure signature, Lenovo platform
Prepared by: S. Okafor
Observed symptoms: ecc_correctable_spike, bios_reseat_attempted.
Analysis: Initial diagnosis suspected a loose DIMM seating after a recent chassis service event; reseating temporarily reduced correctable ECC counts but errors returned within 48 hours, confirming the module itself (not the seating) was at fault.
Recommended and validated action: Reseating the DIMM is not a durable fix when correctable ECC counts resume climbing within 2 days -- escalate directly to module replacement instead of re-attempting a reseat.
Confirmation: Documented as an ineffective first response -- do not repeat."
DOC-0039,ticket,nic,link_flap|crc_errors,"Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.","Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.",True,INC894970,RACK-09,RACK-09-U5,P. Reyes,Dell,"[Closed Incident INC894970] Component: NIC | Server: RACK-09-U5 | Rack: RACK-09
Vendor: Dell
Symptoms observed: link_flap, crc_errors.
Root cause: Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.
Resolution applied by P. Reyes: Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.
Outcome: Resolved, no recurrence in 30 days."
DOC-0003,ticket,dimm,ecc_correctable_spike|ecc_uncorrectable|memory_errors,"Degrading DIMM module in slot showing rising correctable ECC error rate, progressing to uncorrectable errors consistent with a failing memory cell array.","Replace the affected DIMM module. If the server is part of an active migration or DR failover, complete failover to a healthy node before pulling the module; do not hot-remove memory from a node still serving production traffic.",True,INC190122,RACK-07,RACK-07-U7,J. Alvarez,Dell,"[Closed Incident INC190122] Component: DIMM | Server: RACK-07-U7 | Rack: RACK-07
Vendor: Dell
Symptoms observed: ecc_correctable_spike, ecc_uncorrectable, memory_errors.
Root cause: Degrading DIMM module in slot showing rising correctable ECC error rate, progressing to uncorrectable errors consistent with a failing memory cell array.
Resolution applied by J. Alvarez: Replace the affected DIMM module. If the server is part of an active migration or DR failover, complete failover to a healthy node before pulling the module; do not hot-remove memory from a node still serving production traffic.
Outcome: Resolved, no recurrence in 30 days."
DOC-0046,rca,nic,link_flap|driver_reset_attempted,"Link flaps attributed initially to a NIC driver issue; a driver update and reset were applied but flaps recurred within 24 hours, later traced to the same transceiver/cable pattern seen in other DIMM/NIC RCAs.","A driver reset is not sufficient when CRC errors are also rising -- treat rising CRC alongside link flaps as a physical-layer signature (transceiver/cable), not a driver-layer issue, and skip straight to hardware replacement.",False,INC606098,RACK-10,RACK-10-U1,R. Singh,Lenovo,"Root Cause Analysis INC606098 -- NIC failure signature, Lenovo platform
Prepared by: R. Singh
Observed symptoms: link_flap, driver_reset_attempted.
Analysis: Link flaps attributed initially to a NIC driver issue; a driver update and reset were applied but flaps recurred within 24 hours, later traced to the same transceiver/cable pattern seen in other DIMM/NIC RCAs.
Recommended and validated action: A driver reset is not sufficient when CRC errors are also rising -- treat rising CRC alongside link flaps as a physical-layer signature (transceiver/cable), not a driver-layer issue, and skip straight to hardware replacement.
Confirmation: Documented as an ineffective first response -- do not repeat."
DOC-0037,manual,nic,link_flap|crc_errors,"Repeated link flaps with rising CRC error counts on a single NIC port, isolated to the port (not the switch side, confirmed via counters on both ends) -- consistent with a degrading SFP transceiver or a marginal cable.","Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.",True,INC876314,RACK-05,RACK-05-U8,P. Reyes,Dell,"Vendor Service Procedure Excerpt (Dell) -- NIC module replacement
Applicable symptom codes: link_flap, crc_errors.
Procedure: Replace the SFP transceiver and cable together before replacing the NIC card itself; this resolved the equivalent signature in prior tickets without a full card swap. If this NIC is the active path for an in-progress migration, fail over to the secondary NIC first.
Safety note: Always confirm redundant-path health (failover partner, RAID rebuild target, or partner PSU) before removing a component from a live chassis."
DOC-0008,rca,dimm,ecc_correctable_spike|bios_reseat_attempted,"Initial diagnosis suspected a loose DIMM seating after a recent chassis service event; reseating temporarily reduced correctable ECC counts but errors returned within 48 hours, confirming the module itself (not the seating) was at fault.",Reseating the DIMM is not a durable fix when correctable ECC counts resume climbing within 2 days -- escalate directly to module replacement instead of re-attempting a reseat.,False,INC208061,RACK-10,RACK-10-U4,S. Okafor,Dell,"Root Cause Analysis INC208061 -- DIMM failure signature, Dell platform
Prepared by: S. Okafor
Observed symptoms: ecc_correctable_spike, bios_reseat_attempted.
Analysis: Initial diagnosis suspected a loose DIMM seating after a recent chassis service event; reseating temporarily reduced correctable ECC counts but errors returned within 48 hours, confirming the module itself (not the seating) was at fault.
Recommended and validated action: Reseating the DIMM is not a durable fix when correctable ECC counts resume climbing within 2 days -- escalate directly to module replacement instead of re-attempting a reseat.
Confirmation: Documented as an ineffective first response -- do not repeat."
DOC-0029,manual,psu,input_voltage_drop|output_ripple_high|psu_fault,"Input voltage sag combined with rising output ripple on one PSU in a redundant pair indicates internal capacitor degradation, typically 2-3 weeks before a hard PSU trip.","Because PSUs are deployed N+1, the redundant unit can carry load during replacement -- confirm the partner PSU is healthy, then hot-swap the degrading unit. If this rack is in a backup window, verify the backup job's power draw profile doesn't push the single remaining PSU over its rated capacity before pulling the faulty one.",True,INC511439,RACK-07,RACK-07-U7,R. Singh,Dell,"Vendor Service Procedure Excerpt (Dell) -- PSU module replacement
Applicable symptom codes: input_voltage_drop, output_ripple_high, psu_fault.
Procedure: Because PSUs are deployed N+1, the redundant unit can carry load during replacement -- confirm the partner PSU is healthy, then hot-swap the degrading unit. If this rack is in a backup window, verify the backup job's power draw profile doesn't push the single remaining PSU over its rated capacity before pulling the faulty one.
Safety note: Always confirm redundant-path health (failover partner, RAID rebuild target, or partner PSU) before removing a component from a live chassis."
DOC-0020,ticket,disk,smart_read_error_rate|latency_spike,"Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern.","Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily.",True,INC740595,RACK-02,RACK-02-U8,J. Alvarez,Dell,"[Closed Incident INC740595] Component: DISK | Server: RACK-02-U8 | Rack: RACK-02
Vendor: Dell
Symptoms observed: smart_read_error_rate, latency_spike.
Root cause: Elevated SMART read error rate combined with I/O latency spikes on the same physical disk, without reallocated sectors yet -- an earlier-stage precursor than the classic reallocated-sector pattern.
Resolution applied by J. Alvarez: Flag the disk for proactive replacement during the next maintenance window rather than immediate hot-swap, since no data-loss-risk threshold has been crossed yet; continue monitoring reallocation count daily.
Outcome: Resolved, no recurrence in 30 days."
DOC-0047,email,nic,link_flap|driver_reset_attempted,"Link flaps attributed initially to a NIC driver issue; a driver update and reset were applied but flaps recurred within 24 hours, later traced to the same transceiver/cable pattern seen in other DIMM/NIC RCAs.","A driver reset is not sufficient when CRC errors are also rising -- treat rising CRC alongside link flaps as a physical-layer signature (transceiver/cable), not a driver-layer issue, and skip straight to hardware replacement.",False,INC938487,RACK-11,RACK-11-U2,P. Reyes,Dell,"Subject: Re: NIC alerts on RACK-11-U2 (RACK-11)
From: P. Reyes

Following up on the link_flap, driver_reset_attempted pattern we saw last time -- Link flaps attributed initially to a NIC driver issue; a driver update and reset were applied but flaps recurred within 24 hours, later traced to the same transceiver/cable pattern seen in other DIMM/NIC RCAs. We ended up going with: A driver reset is not sufficient when CRC errors are also rising -- treat rising CRC alongside link flaps as a physical-layer signature (transceiver/cable), not a driver-layer issue, and skip straight to hardware replacement. Only worked temporarily, opened a formal RCA."
